Hue0	Hue1	Hue2	Hue3	Hue4	Hue5	Hue6	Hue7	Hue8	Hue9	Hue10	Hue11	Hue12	Hue13	Hue14	Hue15	type
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	jhead jtail ohead otail
																class
0.003	0.009	0.006	0.003	0.003	0.014	0.023	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jhead
0.004	0.014	0.006	0.002	0.003	0.012	0.019	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jhead
0.002	0.006	0.006	0.004	0.005	0.019	0.019	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jhead
0.003	0.008	0.005	0.003	0.004	0.018	0.021	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jhead
0.003	0.008	0.007	0.004	0.005	0.017	0.019	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jhead
0.003	0.007	0.005	0.003	0.004	0.018	0.022	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jhead
0.004	0.008	0.005	0.003	0.004	0.015	0.022	0.001	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	jhead
0.004	0.012	0.006	0.003	0.004	0.014	0.019	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jhead
0.004	0.014	0.006	0.003	0.003	0.014	0.018	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jhead
0.003	0.007	0.004	0.003	0.004	0.017	0.023	0.001	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	jhead
0.003	0.011	0.009	0.004	0.004	0.015	0.016	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jhead
0.003	0.006	0.005	0.003	0.004	0.016	0.024	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jhead
0.002	0.007	0.005	0.003	0.004	0.018	0.022	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jhead
0.003	0.014	0.007	0.003	0.003	0.014	0.017	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jhead
0.003	0.007	0.004	0.003	0.005	0.016	0.022	0.001	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	jhead
0.003	0.007	0.005	0.003	0.004	0.016	0.022	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jhead
0.004	0.008	0.005	0.003	0.004	0.015	0.022	0.001	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	jhead
0.003	0.007	0.004	0.003	0.005	0.020	0.020	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jhead
0.003	0.008	0.006	0.003	0.004	0.016	0.020	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jhead
0.004	0.015	0.006	0.002	0.003	0.013	0.018	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jhead
0.003	0.008	0.006	0.003	0.004	0.015	0.022	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jhead
0.002	0.005	0.005	0.004	0.005	0.020	0.019	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jtail
0.004	0.012	0.005	0.002	0.003	0.014	0.021	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jtail
0.004	0.014	0.006	0.003	0.003	0.013	0.018	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jtail
0.003	0.008	0.004	0.002	0.003	0.016	0.024	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jtail
0.003	0.009	0.008	0.004	0.005	0.016	0.016	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jtail
0.003	0.013	0.006	0.002	0.003	0.015	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	jtail
