Hue0	Hue1	Hue2	Hue3	Hue4	Hue5	Hue6	Hue7	Hue8	Hue9	Hue10	Hue11	Hue12	Hue13	Hue14	Hue15	Length0	Length1	Length2	Length3	Length4	Length5	Length6	Length7	Length8	Length9	Angle0	Angle1	Angle2	Angle3	Angle4	Angle5	Angle6	Angle7	Angle8	Angle9	type
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	s1 s2 s3
																																				class
0.001	0.060	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.746	3.163	2.050	1.121	0.432	0.176	0.112	0.072	0.072	0.056	0.000	0.000	0.003	0.005	0.006	0.007	0.004	0.003	0.000	0.000	s1
0.001	0.060	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.357	3.010	1.879	1.361	0.605	0.478	0.207	0.088	0.008	0.008	0.000	0.000	0.002	0.004	0.007	0.008	0.005	0.002	0.000	0.000	s1
0.001	0.060	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.837	2.580	1.422	0.926	0.584	0.386	0.154	0.055	0.055	0.000	0.000	0.000	0.002	0.004	0.006	0.010	0.005	0.002	0.000	0.000	s1
0.001	0.060	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.787	3.002	2.022	1.067	0.573	0.287	0.096	0.072	0.032	0.064	0.000	0.000	0.002	0.004	0.007	0.009	0.003	0.001	0.000	0.000	s1
0.001	0.060	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.460	3.512	2.131	1.014	0.423	0.188	0.178	0.056	0.009	0.028	0.000	0.000	0.004	0.005	0.005	0.006	0.005	0.003	0.000	0.000	s1
0.001	0.060	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.713	2.845	2.195	1.036	0.413	0.395	0.193	0.140	0.044	0.026	0.000	0.000	0.002	0.005	0.007	0.008	0.004	0.002	0.000	0.000	s1
0.001	0.059	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.550	3.240	2.029	1.123	0.561	0.209	0.152	0.048	0.080	0.008	0.000	0.000	0.002	0.005	0.006	0.009	0.004	0.002	0.000	0.000	s1
0.001	0.061	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.550	3.029	1.923	1.088	0.635	0.331	0.252	0.087	0.035	0.070	0.000	0.000	0.002	0.004	0.007	0.008	0.004	0.002	0.000	0.000	s1
0.001	0.060	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.221	2.881	2.554	1.205	0.472	0.370	0.174	0.065	0.036	0.022	0.000	0.000	0.002	0.004	0.008	0.009	0.004	0.002	0.000	0.000	s1
0.000	0.061	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.650	2.922	1.486	1.062	0.556	0.142	0.091	0.040	0.040	0.010	0.000	0.000	0.002	0.004	0.007	0.010	0.004	0.002	0.000	0.000	s1
0.001	0.059	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.702	3.000	1.636	0.868	0.521	0.149	0.083	0.017	0.008	0.017	0.000	0.000	0.002	0.004	0.007	0.010	0.004	0.001	0.000	0.000	s1
0.001	0.059	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.550	3.005	1.934	1.317	0.609	0.262	0.208	0.062	0.039	0.015	0.000	0.000	0.002	0.005	0.007	0.007	0.004	0.002	0.000	0.000	s1
