Length0	Length1	Length2	Length3	Length4	Length5	Length6	Length7	Length8	Length9	Angle0	Angle1	Angle2	Angle3	Angle4	Angle5	Angle6	Angle7	Angle8	Angle9	type
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	jhead jtail ohead otail
																				class
1.184	1.130	1.346	1.292	1.119	1.012	0.635	0.786	0.743	0.753	0.000	0.000	0.004	0.005	0.005	0.005	0.004	0.004	0.000	0.000	jhead
1.025	1.272	1.420	1.370	1.037	1.000	0.926	0.840	0.580	0.531	0.000	0.000	0.004	0.004	0.006	0.005	0.004	0.004	0.000	0.000	jhead
0.873	1.384	1.698	1.364	1.079	0.913	0.873	0.658	0.648	0.510	0.000	0.000	0.004	0.005	0.005	0.005	0.004	0.004	0.000	0.000	jhead
0.953	1.247	1.365	1.400	1.118	0.988	0.894	0.800	0.682	0.553	0.000	0.000	0.003	0.003	0.007	0.009	0.003	0.002	0.000	0.000	jhead
0.768	1.414	1.147	1.225	1.325	0.991	0.947	0.690	0.768	0.724	0.000	0.000	0.004	0.003	0.008	0.005	0.004	0.004	0.000	0.000	jhead
0.996	1.422	1.387	1.342	1.058	1.067	0.871	0.693	0.498	0.667	0.000	0.000	0.004	0.005	0.006	0.005	0.005	0.003	0.000	0.000	jhead
0.910	0.923	1.599	1.378	1.095	1.119	0.959	0.627	0.566	0.824	0.000	0.000	0.005	0.005	0.005	0.005	0.005	0.003	0.000	0.000	jhead
0.895	1.185	1.487	1.572	1.161	0.665	0.810	0.653	0.677	0.895	0.000	0.000	0.004	0.003	0.007	0.008	0.004	0.003	0.000	0.000	jhead
1.097	1.150	1.435	1.287	1.276	0.992	0.886	0.897	0.549	0.432	0.000	0.000	0.004	0.004	0.006	0.005	0.005	0.003	0.000	0.000	jhead
1.027	1.362	1.038	1.484	1.295	0.893	0.770	0.748	0.759	0.625	0.000	0.000	0.005	0.004	0.004	0.005	0.005	0.005	0.000	0.000	jhead
1.061	1.238	1.124	1.634	1.197	0.947	0.843	0.635	0.739	0.583	0.000	0.000	0.002	0.004	0.008	0.008	0.004	0.002	0.000	0.000	jhead
1.024	1.391	1.207	1.207	1.076	0.735	0.984	0.853	0.761	0.761	0.000	0.000	0.005	0.004	0.004	0.005	0.005	0.004	0.000	0.000	jhead
1.108	1.056	1.440	1.440	1.091	0.951	0.820	0.934	0.733	0.428	0.000	0.000	0.004	0.005	0.005	0.006	0.005	0.003	0.000	0.000	jhead
1.035	1.181	1.496	1.181	1.282	0.911	0.675	0.765	0.742	0.731	0.000	0.000	0.003	0.005	0.006	0.006	0.004	0.004	0.000	0.000	jhead
1.057	1.777	1.335	1.374	1.057	0.989	0.749	0.682	0.461	0.519	0.000	0.000	0.004	0.005	0.005	0.005	0.004	0.005	0.000	0.000	jhead
1.105	1.389	1.474	1.326	0.958	0.779	1.116	0.537	0.705	0.611	0.000	0.000	0.003	0.003	0.008	0.007	0.004	0.003	0.000	0.000	jhead
0.910	0.923	1.599	1.378	1.095	1.119	0.959	0.627	0.566	0.824	0.000	0.000	0.005	0.005	0.005	0.005	0.005	0.003	0.000	0.000	jhead
0.951	1.392	1.412	1.333	1.147	0.931	0.735	0.882	0.637	0.578	0.000	0.000	0.005	0.005	0.005	0.004	0.004	0.004	0.000	0.000	jhead
0.925	1.328	1.317	1.328	1.164	1.034	1.055	0.740	0.588	0.522	0.000	0.000	0.005	0.005	0.004	0.006	0.004	0.003	0.000	0.000	jhead
0.920	1.632	0.982	1.215	1.264	0.982	0.798	0.883	0.650	0.675	0.000	0.000	0.005	0.004	0.006	0.005	0.005	0.003	0.000	0.000	jhead
0.996	1.345	1.208	1.569	1.021	0.934	0.971	0.697	0.635	0.623	0.000	0.000	0.002	0.002	0.014	0.006	0.002	0.002	0.000	0.000	jhead
0.978	1.050	1.432	1.473	1.123	1.030	1.020	0.834	0.494	0.566	0.000	0.000	0.005	0.005	0.005	0.005	0.004	0.003	0.000	0.000	jtail
1.035	1.163	1.267	1.337	1.116	0.965	0.767	0.919	0.663	0.767	0.000	0.000	0.004	0.004	0.006	0.005	0.004	0.004	0.000	0.000	jtail
0.830	1.446	1.200	1.592	1.110	0.987	0.661	0.684	0.807	0.684	0.000	0.000	0.003	0.004	0.006	0.006	0.004	0.004	0.000	0.000	jtail
1.268	1.501	1.416	1.099	1.078	0.909	0.698	0.740	0.603	0.687	0.000	0.000	0.003	0.004	0.006	0.007	0.004	0.004	0.000	0.000	jtail
0.933	1.310	1.300	1.415	1.174	1.006	0.744	0.681	0.639	0.797	0.000	0.000	0.003	0.004	0.006	0.007	0.003	0.004	0.000	0.000	jtail
1.077	1.192	1.365	1.404	1.240	1.144	0.721	0.750	0.625	0.481	0.000	0.000	0.003	0.004	0.006	0.008	0.005	0.003	0.000	0.000	jtail
1.093	0.991	1.347	1.296	1.296	0.978	0.775	0.712	0.648	0.864	0.000	0.000	0.003	0.004	0.006	0.008	0.003	0.003	0.000	0.000	jtail
0.934	1.110	1.183	1.328	1.162	1.079	0.768	0.985	0.809	0.643	0.000	0.000	0.003	0.005	0.007	0.005	0.005	0.003	0.000	0.000	jtail
